symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
USDCAD,2025-04-18 04:00:00,1.38657,1.38669,1.38465,1.3857,1.38633,1.38641,1.38447,1.38538,1.38645,1.38655,1.38456,1.38554
USDCAD,2025-04-18 05:00:00,1.38641,1.38691,1.38617,1.38657,1.38615,1.38668,1.38588,1.38633,1.38628,1.386795,1.386025,1.38645
USDCAD,2025-04-18 06:00:00,1.38603,1.38672,1.38547,1.38641,1.38573,1.38653,1.38522,1.38615,1.38588,1.386625,1.385345,1.38628
USDCAD,2025-04-18 07:00:00,1.38568,1.38637,1.38485,1.38603,1.38546,1.38605,1.38448,1.38573,1.38557,1.38621,1.384665,1.38588
USDCAD,2025-04-18 08:00:00,1.38637,1.38711,1.38532,1.38568,1.38617,1.38675,1.385,1.38546,1.38627,1.38693,1.38516,1.38557
USDCAD,2025-04-18 09:00:00,1.38605,1.38657,1.38469,1.38637,1.38577,1.38624,1.38444,1.38617,1.38591,1.386405,1.384565,1.38627
USDCAD,2025-04-18 10:00:00,1.38672,1.38719,1.38578,1.38605,1.38651,1.38689,1.3848,1.38577,1.386615,1.38704,1.38529,1.38591
USDCAD,2025-04-18 11:00:00,1.38654,1.38694,1.38475,1.38672,1.38621,1.38655,1.38434,1.38651,1.386375,1.386745,1.384545,1.386615
USDCAD,2025-04-18 12:00:00,1.38505,1.38658,1.38494,1.38654,1.38479,1.38636,1.38465,1.38621,1.38492,1.38647,1.384795,1.386375
USDCAD,2025-04-18 13:00:00,1.38541,1.38583,1.38461,1.38505,1.38506,1.38551,1.38437,1.38479,1.385235,1.38567,1.38449,1.38492
USDCAD,2025-04-18 14:00:00,1.38507,1.38546,1.38427,1.38541,1.38473,1.38509,1.38402,1.38506,1.3849,1.385275,1.384145,1.385235
USDCAD,2025-04-18 15:00:00,1.38493,1.38528,1.38478,1.38507,1.38459,1.38485,1.38443,1.38473,1.38476,1.385065,1.384605,1.3849
USDCAD,2025-04-18 16:00:00,1.38485,1.38523,1.38472,1.38493,1.38454,1.38476,1.38424,1.38459,1.384695,1.384995,1.38448,1.38476
USDCAD,2025-04-18 17:00:00,1.38576,1.38576,1.38391,1.38485,1.38426,1.38464,1.38283,1.38454,1.38501,1.3852,1.38337,1.384695
USDCAD,2025-04-20 18:00:00,1.38534,1.38592,1.385,1.38576,1.38384,1.38442,1.3835,1.38426,1.38459,1.38517,1.38425,1.38501
USDCAD,2025-04-20 19:00:00,1.38298,1.38549,1.38271,1.38534,1.38272,1.38399,1.38253,1.38384,1.38285,1.38474,1.38262,1.38459
USDCAD,2025-04-20 20:00:00,1.38265,1.38319,1.38232,1.38298,1.38248,1.38299,1.38215,1.38272,1.382565,1.38309,1.382235,1.38285
USDCAD,2025-04-20 21:00:00,1.38201,1.38275,1.38065,1.38265,1.3818,1.38259,1.38049,1.38248,1.381905,1.38267,1.38057,1.382565
USDCAD,2025-04-20 22:00:00,1.38193,1.38234,1.38152,1.38201,1.38171,1.38213,1.38131,1.3818,1.38182,1.382235,1.381415,1.381905
USDCAD,2025-04-20 23:00:00,1.38078,1.38227,1.3803,1.38193,1.38058,1.38207,1.38012,1.38171,1.38068,1.38217,1.38021,1.38182
USDCAD,2025-04-21 00:00:00,1.37972,1.38081,1.37953,1.38078,1.37953,1.3806,1.37936,1.38058,1.379625,1.380705,1.379445,1.38068
USDCAD,2025-04-21 01:00:00,1.37987,1.38049,1.37972,1.37972,1.37966,1.38032,1.37953,1.37953,1.379765,1.380405,1.379625,1.379625
USDCAD,2025-04-21 02:00:00,1.37926,1.37997,1.3792,1.37987,1.37906,1.37976,1.379,1.37966,1.37916,1.379865,1.3791,1.379765
USDCAD,2025-04-21 03:00:00,1.37986,1.38036,1.37926,1.37926,1.37968,1.38016,1.37906,1.37906,1.37977,1.38026,1.37916,1.37916
USDCAD,2025-04-21 04:00:00,1.38005,1.38039,1.37946,1.37986,1.37985,1.38021,1.37924,1.37968,1.37995,1.3803,1.37935,1.37977
USDCAD,2025-04-21 05:00:00,1.37942,1.38043,1.37932,1.38005,1.37927,1.38026,1.37912,1.37985,1.379345,1.380345,1.37922,1.37995
USDCAD,2025-04-21 06:00:00,1.37979,1.37993,1.37824,1.37942,1.37962,1.37974,1.37805,1.37927,1.379705,1.379835,1.378145,1.379345
USDCAD,2025-04-21 07:00:00,1.38117,1.38164,1.3795,1.37979,1.38098,1.38145,1.37931,1.37962,1.381075,1.381545,1.379405,1.379705
USDCAD,2025-04-21 08:00:00,1.38089,1.38166,1.38053,1.38117,1.38071,1.38144,1.38032,1.38098,1.3808,1.38155,1.380425,1.381075
USDCAD,2025-04-21 09:00:00,1.37944,1.38128,1.37891,1.38089,1.37925,1.3811,1.37875,1.38071,1.379345,1.38119,1.37883,1.3808
USDCAD,2025-04-21 10:00:00,1.37929,1.38126,1.3786,1.37944,1.37908,1.38107,1.37842,1.37925,1.379185,1.381165,1.37851,1.379345
USDCAD,2025-04-21 11:00:00,1.38089,1.38131,1.37929,1.37929,1.3807,1.38112,1.37908,1.37908,1.380795,1.381215,1.379185,1.379185
USDCAD,2025-04-21 12:00:00,1.38191,1.38207,1.38065,1.38089,1.38172,1.38189,1.38046,1.3807,1.381815,1.38198,1.380555,1.380795
USDCAD,2025-04-21 13:00:00,1.38396,1.38429,1.38179,1.38191,1.38378,1.38414,1.3816,1.38172,1.38387,1.384215,1.381695,1.381815
USDCAD,2025-04-21 14:00:00,1.38429,1.38507,1.38374,1.38396,1.38411,1.38491,1.38355,1.38378,1.3842,1.38499,1.383645,1.38387
USDCAD,2025-04-21 15:00:00,1.38391,1.38491,1.38366,1.38429,1.38371,1.38476,1.38347,1.38411,1.38381,1.384835,1.383565,1.3842
USDCAD,2025-04-21 16:00:00,1.3836,1.38414,1.38267,1.38391,1.3834,1.38397,1.3825,1.38371,1.3835,1.384055,1.382585,1.38381
USDCAD,2025-04-21 17:00:00,1.38412,1.38432,1.38348,1.3836,1.38394,1.38413,1.38332,1.3834,1.38403,1.384225,1.3834,1.3835
USDCAD,2025-04-21 18:00:00,1.38437,1.38456,1.38412,1.38412,1.38372,1.38401,1.38361,1.38394,1.384045,1.384285,1.383865,1.38403
USDCAD,2025-04-21 19:00:00,1.38396,1.38461,1.38362,1.38437,1.38373,1.38434,1.38343,1.38372,1.383845,1.384475,1.383525,1.384045
USDCAD,2025-04-21 20:00:00,1.3835,1.38419,1.38334,1.38396,1.3833,1.38397,1.38312,1.38373,1.3834,1.38408,1.38323,1.383845
USDCAD,2025-04-21 21:00:00,1.38394,1.38474,1.38292,1.3835,1.38374,1.38452,1.38275,1.3833,1.38384,1.38463,1.382835,1.3834
USDCAD,2025-04-21 22:00:00,1.3836,1.38394,1.38292,1.38394,1.38344,1.38374,1.38273,1.38374,1.38352,1.38384,1.382825,1.38384
USDCAD,2025-04-21 23:00:00,1.38214,1.38383,1.38208,1.3836,1.38194,1.38363,1.38187,1.38344,1.38204,1.38373,1.381975,1.38352
USDCAD,2025-04-22 00:00:00,1.38068,1.38224,1.38014,1.38214,1.38049,1.38203,1.37997,1.38194,1.380585,1.382135,1.380055,1.38204
USDCAD,2025-04-22 01:00:00,1.38059,1.38084,1.3803,1.38068,1.38037,1.3806,1.38009,1.38049,1.38048,1.38072,1.380195,1.380585
USDCAD,2025-04-22 02:00:00,1.37984,1.38122,1.37941,1.38059,1.37963,1.38098,1.37922,1.38037,1.379735,1.3811,1.379315,1.38048
USDCAD,2025-04-22 03:00:00,1.38164,1.38223,1.37942,1.37984,1.38145,1.38206,1.37922,1.37963,1.381545,1.382145,1.37932,1.379735
USDCAD,2025-04-22 04:00:00,1.38126,1.38196,1.38051,1.38164,1.38108,1.38175,1.3803,1.38145,1.38117,1.381855,1.380405,1.381545
USDCAD,2025-04-22 05:00:00,1.38194,1.38224,1.38101,1.38126,1.38173,1.38204,1.38082,1.38108,1.381835,1.38214,1.380915,1.38117
USDCAD,2025-04-22 06:00:00,1.38388,1.3841,1.38182,1.38194,1.38369,1.38391,1.38164,1.38173,1.383785,1.384005,1.38173,1.381835
USDCAD,2025-04-22 07:00:00,1.38412,1.38416,1.38287,1.38388,1.38393,1.38397,1.38268,1.38369,1.384025,1.384065,1.382775,1.383785
USDCAD,2025-04-22 08:00:00,1.38442,1.38491,1.3835,1.38412,1.38422,1.3847,1.38331,1.38393,1.38432,1.384805,1.383405,1.384025
USDCAD,2025-04-22 09:00:00,1.38477,1.3863,1.38434,1.38442,1.38457,1.3861,1.38415,1.38422,1.38467,1.3862,1.384245,1.38432
USDCAD,2025-04-22 10:00:00,1.38377,1.38588,1.38345,1.38477,1.38357,1.3857,1.38328,1.38457,1.38367,1.38579,1.383365,1.38467
USDCAD,2025-04-22 11:00:00,1.38271,1.38526,1.38251,1.38377,1.38254,1.38506,1.38235,1.38357,1.382625,1.38516,1.38243,1.38367
USDCAD,2025-04-22 12:00:00,1.38025,1.38307,1.38025,1.38271,1.38009,1.38288,1.38008,1.38254,1.38017,1.382975,1.380165,1.382625
USDCAD,2025-04-22 13:00:00,1.38085,1.38163,1.3798,1.38025,1.38068,1.38144,1.37961,1.38009,1.380765,1.381535,1.379705,1.38017
USDCAD,2025-04-22 14:00:00,1.38194,1.38259,1.38004,1.38085,1.38177,1.3824,1.37985,1.38068,1.381855,1.382495,1.379945,1.380765
