symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
GBPUSD,2023-09-12 21:00:00,1.24952,1.25018,1.24917,1.24922,1.24933,1.24997,1.24899,1.24906,1.249425,1.250075,1.24908,1.24914
GBPUSD,2023-09-12 22:00:00,1.24923,1.25036,1.24892,1.24952,1.24904,1.25016,1.24875,1.24933,1.249135,1.25026,1.248835,1.249425
GBPUSD,2023-09-12 23:00:00,1.2484,1.24963,1.2482,1.24923,1.24824,1.24942,1.24802,1.24904,1.24832,1.249525,1.24811,1.249135
GBPUSD,2023-09-13 00:00:00,1.24894,1.24918,1.2483,1.2484,1.24877,1.249,1.24814,1.24824,1.248855,1.24909,1.24822,1.24832
GBPUSD,2023-09-13 01:00:00,1.24956,1.24973,1.24883,1.24894,1.24937,1.24951,1.24866,1.24877,1.249465,1.24962,1.248745,1.248855
GBPUSD,2023-09-13 02:00:00,1.24885,1.2499,1.24832,1.24956,1.24862,1.24972,1.24813,1.24937,1.248735,1.24981,1.248225,1.249465
GBPUSD,2023-09-13 03:00:00,1.24509,1.24898,1.2447,1.24885,1.24489,1.24868,1.24455,1.24862,1.24499,1.24883,1.244625,1.248735
GBPUSD,2023-09-13 04:00:00,1.24696,1.24721,1.24422,1.24509,1.24678,1.24703,1.24405,1.24489,1.24687,1.24712,1.244135,1.24499
GBPUSD,2023-09-13 05:00:00,1.24783,1.24796,1.2467,1.24696,1.24764,1.24777,1.24654,1.24678,1.247735,1.247865,1.24662,1.24687
GBPUSD,2023-09-13 06:00:00,1.24646,1.24878,1.24635,1.24783,1.24628,1.2486,1.24618,1.24764,1.24637,1.24869,1.246265,1.247735
GBPUSD,2023-09-13 07:00:00,1.24787,1.24791,1.24567,1.24646,1.24769,1.24772,1.2455,1.24628,1.24778,1.247815,1.245585,1.24637
GBPUSD,2023-09-13 08:00:00,1.24738,1.24823,1.24701,1.24787,1.24718,1.24805,1.24681,1.24769,1.24728,1.24814,1.24691,1.24778
GBPUSD,2023-09-13 09:00:00,1.24869,1.25011,1.24361,1.24738,1.2485,1.24992,1.24334,1.24718,1.248595,1.250015,1.243475,1.24728
GBPUSD,2023-09-13 10:00:00,1.24981,1.2513,1.24726,1.24869,1.24963,1.25111,1.2471,1.2485,1.24972,1.251205,1.24718,1.248595
GBPUSD,2023-09-13 11:00:00,1.2492,1.25037,1.24808,1.24981,1.24903,1.25021,1.24789,1.24963,1.249115,1.25029,1.247985,1.24972
GBPUSD,2023-09-13 12:00:00,1.24881,1.25021,1.24826,1.2492,1.24864,1.25004,1.24808,1.24903,1.248725,1.250125,1.24817,1.249115
GBPUSD,2023-09-13 13:00:00,1.24963,1.25034,1.24872,1.24881,1.24944,1.25017,1.24856,1.24864,1.249535,1.250255,1.24864,1.248725
GBPUSD,2023-09-13 14:00:00,1.25033,1.25071,1.24939,1.24963,1.25015,1.25055,1.24922,1.24944,1.25024,1.25063,1.249305,1.249535
